,City,country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,atuona,PF,-9.8,-139.03,1583964381.0,82.18,77.0,15.0,11.12
1,mataura,NZ,-46.19,168.86,1583964519.0,48.38,85.0,44.0,3.04
2,harnosand,SE,62.63,17.94,1583964519.0,33.01,98.0,20.0,3.36
3,hermanus,ZA,-34.42,19.23,1583964520.0,70.0,84.0,99.0,8.99
4,hobart,AU,-42.88,147.33,1583964520.0,59.0,72.0,29.0,9.17
5,bluff,NZ,-46.6,168.33,1583964520.0,49.1,86.0,95.0,6.51
6,havre-saint-pierre,CA,50.23,-63.6,1583964520.0,17.6,78.0,20.0,11.41
7,terracina,IT,41.29,13.22,1583964520.0,53.01,71.0,0.0,2.68
8,rikitea,PF,-23.12,-134.97,1583964520.0,77.45,82.0,1.0,15.61
9,chuy,UY,-33.7,-53.46,1583964520.0,74.73,76.0,100.0,11.54
10,port elizabeth,ZA,-33.92,25.57,1583964520.0,68.0,88.0,90.0,14.99
11,kodiak,US,57.79,-152.41,1583964520.0,30.2,36.0,1.0,11.41
12,ushuaia,AR,-54.8,-68.3,1583964521.0,48.2,81.0,90.0,12.75
13,katsuura,JP,35.13,140.3,1583964521.0,46.99,45.0,20.0,19.46
14,montepuez,MZ,-13.13,39.0,1583964521.0,71.94,98.0,68.0,3.49
15,seoul,KR,37.57,126.98,1583964463.0,33.8,100.0,1.0,2.24
16,tiksi,RU,71.69,128.87,1583964521.0,-22.04,79.0,0.0,11.95
17,fernley,US,39.61,-119.25,1583964521.0,63.0,33.0,1.0,6.93
18,carnarvon,AU,-24.87,113.63,1583964521.0,69.8,100.0,0.0,6.6
19,cancun,MX,21.17,-86.85,1583964521.0,80.6,61.0,40.0,6.93
20,banon,ES,40.84,-1.19,1583964521.0,59.0,54.0,100.0,4.7
21,punta arenas,CL,-53.15,-70.92,1583964522.0,51.8,93.0,90.0,12.75
22,vestmannaeyjar,IS,63.44,-20.27,1583964522.0,38.05,63.0,100.0,29.3
23,kapaa,US,22.08,-159.32,1583964522.0,78.8,73.0,1.0,8.05
24,qaanaaq,GL,77.48,-69.36,1583964290.0,-23.19,50.0,0.0,6.15
25,vaini,TO,-21.2,-175.2,1583964522.0,78.8,94.0,75.0,4.7
26,cidreira,BR,-30.18,-50.21,1583964522.0,75.76,84.0,0.0,15.88
27,new norfolk,AU,-42.78,147.06,1583964522.0,59.0,72.0,53.0,9.17
28,tripoli,LY,32.88,13.19,1583964405.0,58.75,66.0,0.0,4.92
29,haines junction,CA,60.75,-137.51,1583964523.0,-0.09,81.0,49.0,5.91
30,taltal,CL,-25.4,-70.48,1583964523.0,67.23,72.0,0.0,5.88
31,jamestown,US,42.1,-79.24,1583964434.0,42.8,80.0,90.0,8.05
32,kaitangata,NZ,-46.28,169.85,1583964523.0,49.28,83.0,0.0,9.17
33,tilichiki,RU,60.47,166.1,1583964523.0,27.72,93.0,100.0,35.81
34,torbay,CA,47.67,-52.73,1583964312.0,37.0,100.0,90.0,12.75
